,frame,id,bb_left,bb_top,bb_width,bb_height,conf,cls,vis,pos_x,pos_y
0,1,46,1694.34,839.09,36.99000000000001,41.25999999999999,1,1,1.0,1712.835,859.72
1,1,47,984.11,609.0,25.860000000000014,29.5,1,1,1.0,997.04,623.75
2,1,48,1189.35,611.69,26.41000000000008,30.25,1,1,1.0,1202.5549999999998,626.815
3,1,49,422.46,791.74,34.01000000000005,37.01999999999998,1,1,1.0,439.46500000000003,810.25
4,1,52,1059.79,611.3,26.559999999999945,33.33000000000004,1,1,1.0,1073.07,627.9649999999999
5,1,53,1265.0,443.0,14.0,17.0,1,1,1.0,1272.0,451.5
6,1,54,1234.2,448.03,17.720000000000027,19.79000000000002,1,1,1.0,1243.06,457.92499999999995
7,1,55,1522.51,514.79,15.900000000000093,17.980000000000018,1,1,1.0,1530.46,523.78
8,1,56,1453.67,598.39,24.92999999999984,29.129999999999995,1,1,1.0,1466.135,612.9549999999999
9,1,57,836.0,530.0,20.0,24.0,1,1,1.0,846.0,542.0
10,1,58,802.62,488.36,17.50999999999999,19.079999999999984,1,1,1.0,811.375,497.9
11,1,59,1027.71,572.55,24.539999999999964,28.470000000000027,1,1,1.0,1039.98,586.785
12,1,61,751.0,474.0,21.0,23.0,1,1,1.0,761.5,485.5
13,1,62,935.51,542.21,23.19000000000005,26.25,1,1,1.0,947.105,555.335
14,1,63,887.73,534.14,19.49000000000001,23.620000000000005,1,1,1.0,897.475,545.95
15,1,64,977.0,566.0,22.0,25.0,1,1,1.0,988.0,578.5
16,1,66,1634.1,682.21,27.2800000000002,29.980000000000015,1,1,1.0,1647.74,697.2
17,1,67,1689.43,673.38,30.220000000000027,33.90999999999997,1,1,1.0,1704.54,690.335
18,1,68,375.82,818.66,40.85000000000002,44.55000000000007,1,1,1.0,396.245,840.935
19,1,69,230.43,817.35,36.46999999999997,42.29999999999996,1,1,1.0,248.665,838.5
20,1,70,1086.85,595.13,24.050000000000185,27.779999999999973,1,1,1.0,1098.875,609.02
21,1,71,968.87,521.34,22.559999999999945,25.67999999999995,1,1,1.0,980.15,534.1800000000001
22,1,72,830.37,456.64,17.620000000000005,18.980000000000015,1,1,1.0,839.1800000000001,466.13
23,1,73,782.0,450.0,22.0,22.0,1,1,1.0,793.0,461.0
24,1,74,786.19,694.86,29.629999999999995,35.34000000000003,1,1,1.0,801.0050000000001,712.53
25,1,75,714.46,686.33,28.69999999999993,31.779999999999973,1,1,1.0,728.81,702.22
26,1,76,1385.94,1023.37,57.25,53.30000000000007,1,1,1.0,1414.565,1050.02
27,1,77,1112.91,544.0,21.74000000000001,24.590000000000032,1,1,1.0,1123.7800000000002,556.2950000000001
